Model,Exam,Query,Tool,Exit,Cardinality,Time,OK
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-00,STARMC,0,43463,0.190,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-01,STARMC,0,43463,0.100,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-02,STARMC,0,0,0.066,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-03,STARMC,0,0,0.093,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-04,STARMC,0,0,0.061,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-05,STARMC,0,6112,0.131,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-06,STARMC,0,43463,0.158,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-07,STARMC,0,0,0.233,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-08,STARMC,0,43463,0.060,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-09,STARMC,0,0,0.101,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-10,STARMC,0,0,0.099,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-11,STARMC,0,0,0.126,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-12,STARMC,0,39349,0.067,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-13,STARMC,0,43463,0.060,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-14,STARMC,0,43463,0.096,1
AirplaneLD-COL-0010,CTLCardinality,AirplaneLD-COL-0010-CTLCardinality-15,STARMC,0,43463,0.148,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-00,STARMC,0,2541,0.158,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-01,STARMC,0,41659,0.138,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-02,STARMC,0,43463,0.109,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-03,STARMC,0,4172,0.168,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-04,STARMC,0,294,0.224,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-05,STARMC,0,595,0.168,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-06,STARMC,0,7623,0.070,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-07,STARMC,0,43463,0.095,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-08,STARMC,0,6,0.163,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-09,STARMC,0,41219,0.152,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-10,STARMC,0,43463,0.096,1
AirplaneLD-COL-0010,CTLFireability,AirplaneLD-COL-0010-CTLFireability-11,STARMC,0,13246,0.177,1
