Model,Exam,Query,Tool,Exit,Cardinality,Time,OK
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-00,STARMC,0,320567601,0.143,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-01,STARMC,0,320567601,0.046,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-02,STARMC,0,0,0.041,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-03,STARMC,0,320507101,0.655,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-04,STARMC,0,0,0.049,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-05,STARMC,0,320567601,0.220,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-06,STARMC,0,732050,0.295,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-07,STARMC,0,366025,0.182,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-08,STARMC,0,320567601,0.311,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-09,STARMC,0,255921681,0.255,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-10,STARMC,0,319835551,0.278,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-11,STARMC,0,732050,0.173,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-12,STARMC,0,0,0.038,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-13,STARMC,0,0,0.063,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-14,STARMC,0,15931400,0.237,1
ARMCacheCoherence-PT-none,CTLCardinality,ARMCacheCoherence-PT-none-CTLCardinality-15,STARMC,0,0,0.032,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-00,STARMC,0,585640,4.596,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-01,STARMC,0,0,0.144,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-02,STARMC,0,0,0.033,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-03,STARMC,0,21248200,0.001,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-04,STARMC,0,0,0.031,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-05,STARMC,0,0,0.000,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-06,STARMC,0,0,0.033,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-07,STARMC,0,254355431,0.061,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-08,STARMC,0,215752500,0.105,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-09,STARMC,0,732050,0.070,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-10,STARMC,0,671550,0.672,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-11,STARMC,0,0,0.001,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-12,STARMC,0,0,0.038,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-13,STARMC,0,0,0.042,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-14,STARMC,0,732050,0.171,1
ARMCacheCoherence-PT-none,LTLCardinality,ARMCacheCoherence-PT-none-LTLCardinality-15,STARMC,0,260703721,0.003,1
BART-PT-002,CTLCardinality,BART-PT-002-CTLCardinality-00,STARMC,0,0,0.213,1
BART-PT-002,CTLCardinality,BART-PT-002-CTLCardinality-01,STARMC,0,0,0.178,1
BART-PT-002,CTLCardinality,BART-PT-002-CTLCardinality-02,STARMC,0,17292,0.358,1
BART-PT-002,CTLCardinality,BART-PT-002-CTLCardinality-03,STARMC,0,0,0.205,1
BART-PT-002,CTLCardinality,BART-PT-002-CTLCardinality-04,STARMC,0,0,0.199,1
BART-PT-002,CTLCardinality,BART-PT-002-CTLCardinality-05,STARMC,0,0,0.202,1
BART-PT-002,CTLCardinality,BART-PT-002-CTLCardinality-06,STARMC,0,17424,0.174,1
BART-PT-002,CTLCardinality,BART-PT-002-CTLCardinality-07,STARMC,0,0,0.202,1
BART-PT-002,CTLCardinality,BART-PT-002-CTLCardinality-08,STARMC,0,17424,0.201,1
BART-PT-002,CTLCardinality,BART-PT-002-CTLCardinality-09,STARMC,0,17424,0.207,1
