Model,Exam,Query,Tool,Exit,Cardinality,Time,OK
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-00,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-01,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-02,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-03,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-04,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-05,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-06,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-07,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-08,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-09,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-10,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-11,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-12,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-13,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-14,LTSmin,-1.0,DNF,DNF,1
ARMCacheCoherence-PT-none,CTLstarCardinality,ARMCacheCoherence-PT-none-CTLstarCardinalityX-15,LTSmin,-1.0,DNF,DNF,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-00,LTSmin,-1.0,0,0.0014,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-01,LTSmin,-1.0,0,0.114626,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-02,LTSmin,-1.0,17292,0.165881,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-03,LTSmin,-1.0,0,0.000754,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-04,LTSmin,-1.0,0,0.000511,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-05,LTSmin,-1.0,0,0.000707,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-06,LTSmin,-1.0,17424,0.112932,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-07,LTSmin,-1.0,0,0.113578,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-08,LTSmin,-1.0,0,1.327597,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-09,LTSmin,-1.0,17424,0.001674,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-10,LTSmin,-1.0,17424,0.114471,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-11,LTSmin,-1.0,0,0.11346,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-12,LTSmin,-1.0,0,0.180126,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-13,LTSmin,-1.0,0,0.000862,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-14,LTSmin,-1.0,0,0.115939,1
BART-PT-002,CTLstarCardinality,BART-PT-002-CTLstarCardinalityX-15,LTSmin,-1.0,0,1.057873,1
BART-PT-005,CTLstarCardinality,BART-PT-005-CTLstarCardinalityX-00,LTSmin,-1.0,40072359888,1.823618,1
BART-PT-005,CTLstarCardinality,BART-PT-005-CTLstarCardinalityX-01,LTSmin,-1.0,0,0.000599,1
BART-PT-005,CTLstarCardinality,BART-PT-005-CTLstarCardinalityX-02,LTSmin,-1.0,39773346624,12.710233,1
BART-PT-005,CTLstarCardinality,BART-PT-005-CTLstarCardinalityX-03,LTSmin,-1.0,0,0.000616,1
BART-PT-005,CTLstarCardinality,BART-PT-005-CTLstarCardinalityX-04,LTSmin,-1.0,39771046656,0.757755,1
